pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;"Geschichte 1 (1873) S. 346 f. 222 Die Parole der prohabsburgischen Partei, vgl. Hans Frund, Chronik (wie Anm. 146) S. 93 f.; Joseph SEEMULLER, Friedrichs III. Aachener"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nds?\s+chronik;"Baden im Marz 1444). Vgl. Gerold Edlibach’s Chronik (wie Anm. 46) S. 44; Hans Frund Chronik (wie Anm. 146) S. 171ff.; TSCHUDI (wie Anm. 3) Teil 11, S. 223 ff.; NIEDERSTATTER"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;Gerold Edlibach’s Chronik (wie Anm. 46) S. 44. Vgl. auch: Die Chronik des Hans Frund, Landschreiber zu Schwytz, hg. von Christian Immanuel KIND, Chur 1875, S. 178
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;Alte Zurichkrieg (1436 –1450) im Spiegel der Biographie von Landschreiber Hans Frund, in: Mitteilungen des historischen Vereins des Kantons Schwyz 98 (2006) S. 11
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;"Baden im Marz 1444). Vgl. Gerold Edlibach’s Chronik (wie Anm. 46) S. 44; Hans Frund Chronik (wie Anm. 146) S. 171ff.; TSCHUDI (wie Anm. 3) Teil 11, S. 223 ff.; NIEDERSTATTER"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;"von Claudia OPITZ u. a. (Clio Lucernensis, Bd. 2), Zurich 1993, S. 309; Hans Frund, Chronik (wie Anm. 146) S. 163 ff. 212 Vgl. Anm. 178. 213 Obst, vgl. Schweizerisches"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;"Geschichte 1 (1873) S. 346 f. 222 Die Parole der prohabsburgischen Partei, vgl. Hans Frund, Chronik (wie Anm. 146) S. 93 f.; Joseph SEEMULLER, Friedrichs III. Aachener"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Fründ (Hans Fründ);chronik\s+des\s+hans\s+fr[üu]nd;40] 146 Gerold Edlibach’s Chronik (wie Anm. 46) S. 44. Vgl. auch: Die Chronik des Hans Frund, Landschreiber zu Schwytz, hg. von Christian Immanuel KIND, Chur 1875
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Dacher (Gebhard/Gebhart Dacher, Konstanzer Chronik);(?:gebhard|gebhart)\s+dacher;und offentlichkeitswirksam kritisieren. 114 Vgl. Die „Konstanzer Chronik“ Gebhart Dachers: By des Byschoffs zyten volgiengen disz nachgeschriben ding vnd sachen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Dacher (Gebhard/Gebhart Dacher, Konstanzer Chronik);\bkonstanzer\s+chronik\b;Partei unverhohlen und offentlichkeitswirksam kritisieren. 114 Vgl. Die „Konstanzer Chronik“ Gebhart Dachers: By des Byschoffs zyten volgiengen disz nachgeschriben
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Hemmerlin (Felix Hemmerlin/Malleolus);de\s+nobilitate\s+et\s+rusticitate;LANGMAIER, Felix Hemmerli und der Dialog uber den Adel und den Bauern (De nobilitate et rusticitate dialogus): Seine Bedeutung fur die Erforschung der Mentalitat des
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Hemmerlin (Felix Hemmerlin/Malleolus);de\s+nobilitate\s+et\s+rusticitate;in der Nahe wohnte Felix Hemmerli (L i n d e n 114), der in seinem De nobilitate et rusticitate dialogus (33. Kapitel) auf diese, den Ortskundigen sicherlich bekannten
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Tschachtlan (Benedikt Tschachtlan);\btschachtlan\b;befurchte, die ussern woeltind ze rich und mechtig werden144. 138 Vgl. Benedicht TSCHACHTLAN, Berner Chronik bis zum Jahr 1470/71, bearb. von Pascal LADNER, in: Tschachtlans
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Justinger (Konrad Justinger, Berner Chronik);(?:kon|con)rad\s+justinger;"70*, 72. 256 Zunftmeister der Zurcher Schiffsleute; vgl. Kathrin JOST, Konrad Justinger (ca. 1365 –1438): Chronist und Finanzmann in Berns grosser Zeit (VuF, Sonderbande"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__18.pdf;4;work;Justinger (Konrad Justinger, Berner Chronik);\bjustinger\b;"70*, 72. 256 Zunftmeister der Zurcher Schiffsleute; vgl. Kathrin JOST, Konrad Justinger (ca. 1365 –1438): Chronist und Finanzmann in Berns grosser Zeit (VuF, Sonderbande"
